Ledgerstyle,county,geotype,Character2008,POP2010,WHITEONLY2010,BlackONLY2010,ASIANONLY2010,HISPANIC2010,_2010PopSqMile,POP2000,StateLegDISTRICT2011,2010FIPS,2000FIPS,EMPTY,Statemuniname,1968statecode,TreasuryTaxationcode03,Federalcode03,2003LegislativeDistrict,AlternateCountyCodestate,COUNTY00,muniname06,njmuncode,DOEco_code,DOEdist_code,DOEco_name,DOEdis_name,DOEdfg,MUNICIPALITY,AREA_IN_SQUARE_Miles00WRONG,DENSITY_PER_Square_MileWRONG,Character10,SUMLEV10,GEOCOMP10,CHARITER10,CIFSN10,LOGRECNO10,REGION10,DIVISION10,STATE10,COUNTY10,COUNTYCC10,COUNTYSC10,COUSUB10,COUSUBCC10,COUSUBSC10,CBSA10,CBSASC10,METDIV10,CSA10,CD10,SLDU10,SLDL10,SDELM10,SDSEC10,SDUNI10,AREALAND10,AREAWATR10,AREAname10,FUNCSTAT10,GCUNI10,POP10010,HU10010,INTPTLAT10,INTPTLON10,LSADC10,STATENS10,COUNTYNS10,COUSUBNS10,PLACENS,CSASC10,MEMI10,PUMA10,RESERVED10,2010FIPS,SUMLEV00,LOGRECNO00,STATECE00,STATEFIPS00,COUNTYFIPS00,COUNTYSC00,COUSUBFIPS00,COUSUBCC00,COUSUBSC00,PLACE00,PLACECC00,PLACEDC00,MSACMSA00,MASC00,CMSA00,MACCI00,PMSA00,CD106,AREALAND00,AREAWATR00,NAME00,FUNCSTAT00,GCUNI00,POP10000,HU10000,INTPTLAT00,INTPTLON00,LSADC00,2000FIPS,LANDSQMI2010,WATRSQMI2010,TOTSQMI2010,_2010PopSqMile,LANDSQMILE2000,WATRSQMILE2000,TOTSQMILE2000,_2000PopSqMile
Belleville,Essex,township                                                                       ,Urban Suburb,35926,21753,3277,4312,14133,10755.72657,35928,29,3401304695,3401304695,,Belleville Twp.,701,701,34013005,28,G01,13,Belleville,701,,,,,,Belleville Town,3.3,"10,886.70",Urban Center ,60,0,0,  ,61831,1,2,34,13,H1,20,4695,T1,16,35620,23,35084,408,,,,,,,8651011,153563,Belleville township                                                                       ,A,!,35926,14327,40.7955149,-74.16185,44,1779795,882276,1729713,        ,23,1,     ,                  ,3401304695,60,54596,22,34,13,20,4695,T1,16,     ,  ,0,5602,23,70,N,5640,  ,8660705,178018,Belleville township                                                                       ,A,Y,35928,14144,40793500,-74161448,44,3401304695,3.340174163,0.059291008,3.399465171,10755.72657,3.343917037,0.068733137,3.412650174,10744.2857
Bloomfield,Essex,township                                                                       ,Urban Suburb,47315,28205,8757,3891,11606,8920.450195,47683,28,3401306260,3401306260,,Bloomfield Twp.,702,702,34013010,28,G02,13,Bloomfield,702,,,,,,Bloomfield Boro,5.4,"8,762.00",Urban Center ,60,0,0,  ,62282,1,2,34,13,H1,20,6260,T1,16,35620,23,35084,408,,,,,,,13737567,63006,Bloomfield township                                                                       ,A,!,47315,19470,40.8091275,-74.1871553,44,1779795,882276,1729714,        ,23,1,     ,                  ,3401306260,60,55019,22,34,13,20,6260,T1,16,     ,  ,0,5602,23,70,N,5640,  ,13780999,17981,Bloomfield township                                                                       ,A,Y,47683,19508,40803000,-74188959,44,3401306260,5.304104498,0.024326754,5.328431251,8920.450195,5.320873687,0.006942503,5.327816191,8961.498205
Caldwell,Essex,borough                                                                          ,Urban Suburb,7822,6788,260,369,786,6710.309084,7584,27,3401309250,3401309220,,Caldwell Boro Twp.,703,703,34013015,27,G03,13,Caldwell,703,,,,,,Caldwell Boro,1.2,"6,518.30",Urban Center ,60,0,0,  ,62876,1,2,34,13,H1,20,9250,C5,13,35620,23,35084,408,,,,,,,3019069,3709,Caldwell borough                                                                          ,F,!,7822,3510,40.8392444,-74.2769993,21,1779795,882276,2381010,        ,23,1,     ,                  ,3401309250,60,55589,22,34,13,20,9220,C5,13,,,9,5602,23,70,N,5640,,3070885,2013,Caldwell borough,F,Y,7584,3396,40838932,-74277033,21,3401309220,1.165669107,0.001432053,1.16710116,6710.309084,1.185675378,0.000777224,1.186452601,6396.354469
Cedar Grove,Essex,township,Suburban,12411,11047,306,811,727,2918.600128,12300,40,3401311200,3401311200,,Cedar Grove Twp.,704,704,34013025,40,G04,13,Cedar Grove,704,,,,,,Cedar Grove Twp.,4.5,"2,758.00",Suburban ,60,0,0,  ,62978,1,2,34,13,H1,20,11200,T1,14,35620,23,35084,408,,,,,,,11013616,325963,Cedar Grove township                                                                      ,A,!,12411,4661,40.8580228,-74.2297913,44,1779795,882276,882222,        ,23,1,     ,                  ,3401311200,60,55683,22,34,13,20,11200,T1,14,     ,  ,0,5602,23,70,N,5640,  ,10935663,340167,Cedar Grove township                                                                      ,A,N,12300,4470,40855854,-74228981,44,3401311200,4.252381092,0.125855023,4.378236115,2918.600128,4.222283269,0.131339219,4.353622488,2913.115775
City of Orange,Essex,township,Urban Suburb,30134,3857,21645,455,6531,13705.71942,32868,34,3401313045,3401313045,,City Of Orange Twp.,717,717,34013085,27,G17,13,City of Orange,717,,,,,,Orange City,2.2,"13,697.30",Urban Center ,60,0,0,  ,63162,1,2,34,13,H1,20,13045,T1,16,35620,23,35084,408,,,,,,,5694462,5154,City of Orange township                                                                   ,A,!,30134,12222,40.7680399,-74.2356922,44,1779795,882276,1729742,        ,23,1,     ,                  ,3401313045,60,55833,22,34,13,20,13045,T1,16,     ,  ,0,5602,23,70,N,5640,  ,5711866,5579,City of Orange township                                                                   ,A,N,32868,12665,40768300,-74236031,44,3401313045,2.198644164,0.001989971,2.200634134,13705.71942,2.205363886,0.002154064,2.20751795,14903.66293
East Orange,Essex,city,Urban Center,64270,2657,56887,465,5095,16377.11748,69824,34,3401319390,3401319390,,East Orange City,705,705,34013030,34,G05,13,East Orange,705,,,,,,East Orange City,4,"16,067.50",Urban Center ,60,0,0,  ,63477,1,2,34,13,H1,20,19390,C5,17,35620,23,35084,408,,,,,,,10164092,0,East Orange city                                                                          ,F,!,64270,28803,40.7650581,-74.2118615,25,1779795,882276,885200,        ,23,1,     ,                  ,3401319390,60,56132,22,34,13,20,19390,C5,17,     ,  ,9,5602,23,70,N,5640,  ,10173108,0,East Orange city                                                                          ,F,Y,69824,28485,40766050,-74211699,25,3401319390,3.924378028,0,3.924378028,16377.11748,3.927859125,0,3.927859125,17776.60496
Essex Fells,Essex,borough,Suburban,2113,1998,23,46,42,1496.292422,2162,27,3401321840,3401321840,,Essex Fells Borough,706,706,34013035,27,G06,13,Essex Fells,706,,,,,,Essex Fells Boro,1.3,"1,625.40",Suburban ,60,0,0,  ,64039,1,2,34,13,H1,20,21840,C5,11,35620,23,35084,408,,,,,,,3657470,15289,Essex Fells borough                                                                       ,F,!,2113,758,40.8281268,-74.276197,21,1779795,882276,2390558,        ,23,1,     ,                  ,3401321840,60,56667,22,34,13,20,21840,C5,11,     ,  ,9,5602,23,70,N,5640,  ,3650295,12551,Essex Fells borough                                                                       ,F,Y,2162,761,40827499,-74280918,21,3401321840,1.412157122,0.005903116,1.418060238,1496.292422,1.409386839,0.004845968,1.414232807,1534.000418
Fairfield,Essex,township                                                                        ,Suburban,7466,7081,51,189,384,725.1145329,7063,26,3401322385,3401322385,,Fairfield Twp.,707,707,34013037,27,G07,13,Fairfield,707,,,,,,Fairfield Boro,10.58,705.7,Suburban ,60,0,0,  ,64112,1,2,34,13,H1,20,22385,T1,13,35620,23,35084,408,,,,,,,26667305,425766,Fairfield township                                                                        ,A,!,7466,2723,40.8825075,-74.3045935,44,1779795,882276,1729722,        ,23,1,     ,                  ,3401322385,60,56733,22,34,13,20,22385,T1,13,     ,  ,0,5602,23,70,N,5640,  ,27069895,3183,Fairfield township                                                                        ,A,N,7063,2326,40879049,-74293781,44,3401322385,10.29630446,0.164389179,10.46069364,725.1145329,10.45174534,0.001228963,10.4529743,675.7723014
Glen Ridge,Essex,borough,Urban Suburb,7527,6489,379,350,377,5872.756895,7271,28,3401326610,3401326610,,Glen Ridge Boro Twp.,708,708,34013040,34,G08,13,Glen Ridge,708,,,,,,Glen Ridge Boro,1.3,"5,790.00",Urban Center ,60,0,0,  ,64365,1,2,34,13,H1,20,26610,C5,13,35620,23,35084,408,,,,,,,3319538,12131,Glen Ridge borough                                                                        ,F,!,7527,2541,40.8047984,-74.204569,21,1779795,882276,2390559,        ,23,1,     ,                  ,3401326610,60,56904,22,34,13,20,26610,C5,13,     ,  ,9,5602,23,70,N,5640,  ,3306697,0,Glen Ridge borough                                                                        ,F,Y,7271,2490,40804950,-74204700,21,3401326610,1.281680842,0.004683806,1.286364647,5872.756895,1.276722904,0,1.276722904,5695.049395
Irvington,Essex,township                                                                        ,Urban Suburb,53926,3042,46058,471,5716,18417.03611,60695,28,3401334450,3401334450,,Irvington Twp.,709,709,34013045,28,G09,13,Irvington,709,,,,,,Irvington Town,2.8,"19,259.30",Urban Center ,60,0,0,  ,64515,1,2,34,13,H1,20,34450,T1,17,35620,23,35084,408,,,,,,,7583614,5417,Irvington township                                                                        ,A,!,53926,23196,40.7238596,-74.232517,44,1779795,882276,877363,        ,23,1,     ,                  ,3401334450,60,57043,22,34,13,20,34450,T1,17,     ,  ,0,5602,23,70,N,5640,  ,7657690,0,Irvington township                                                                        ,A,Y,60695,24116,40725651,-74232076,44,3401334450,2.92804986,0.002091516,2.930141375,18417.03611,2.956650764,0,2.956650764,20528.2953
Livingston,Essex,township                                                                       ,Suburban,29366,22367,663,5642,1192,2132.839798,27391,27,3401340890,3401340890,,Livingston Twp.,710,710,34013050,27,G10,13,Livingston,710,,,,,,Livingston Twp.,14,"2,097.60",Suburban ,60,0,0,  ,65012,1,2,34,13,H1,20,40890,T1,16,35620,23,35084,408,,,,,,,35660244,811813,Livingston township                                                                       ,A,!,29366,10284,40.7858277,-74.3291,44,1779795,882276,882219,        ,23,1,     ,                  ,3401340890,60,57524,22,34,13,20,40890,T1,16,     ,  ,0,5602,23,70,N,5640,  ,35955551,481870,Livingston township                                                                       ,A,N,27391,9457,40788733,-74321340,44,3401340890,13.76849777,0.313442765,14.08194053,2132.839798,13.88251644,0.186051055,14.0685675,1973.05727
Maplewood,Essex,township                                                                        ,Urban Suburb,23867,13430,8426,725,1595,6155.292963,23868,27,3401343800,3401343800,,Maplewood Twp.,711,711,34013055,27,G11,13,Maplewood,711,,,,,,Maplewood Twp.,4,"5,966.80",Urban Center ,60,0,0,  ,65507,1,2,34,13,H1,20,43800,T1,15,35620,23,35084,408,,,,,,,10042616,5604,Maplewood township                                                                        ,A,!,23867,8608,40.7326718,-74.2711249,44,1779795,882276,882220,        ,23,1,     ,                  ,3401343800,60,57947,22,34,13,20,43800,T1,15,     ,  ,0,5602,23,70,N,5640,  ,9959264,5252,Maplewood township                                                                        ,A,Y,23868,8615,40728901,-74268213,44,3401343800,3.87747588,0.002163717,3.879639597,6155.292963,3.845293492,0.002027809,3.8473213,6207.068473
Millburn,Essex,township                                                                         ,Suburban,20149,16154,329,3155,703,2161.341406,19765,27,3401346380,3401346380,,Millburn Twp.,712,712,34013060,21,G12,13,Millburn,712,,,,,,Millburn Twp.,10,"2,014.90",Suburban ,60,0,0,  ,65887,1,2,34,13,H1,20,46380,T1,15,35620,23,35084,408,,,,,,,24145037,1433940,Millburn township                                                                         ,A,!,20149,7106,40.7416117,-74.3212815,44,1779795,882276,882221,        ,23,1,     ,                  ,3401346380,60,58282,22,34,13,20,46380,T1,14,     ,  ,0,5602,23,70,N,5640,  ,24305154,1336756,Millburn township                                                                         ,A,N,19765,7158,40733751,-74320141,44,3401346380,9.322451301,0.553647353,9.876098654,2161.341406,9.384272823,0.516124399,9.900397222,2106.183438
Montclair,Essex,township                                                                        ,Urban Suburb,37669,23416,10230,1434,2810,5971.226891,38977,34,3401347500,3401347500,,Montclair Twp.,713,713,34013065,34,G13,13,Montclair,713,,,,,,Montclair Town,6.2,"6,075.60",Urban Center ,60,0,0,  ,66329,1,2,34,13,H1,20,47500,T1,16,35620,23,35084,408,,,,,,,16338729,18079,Montclair township                                                                        ,A,!,37669,15911,40.8244154,-74.2123522,44,1779795,882276,1729720,        ,23,1,     ,                  ,3401347500,60,58672,22,34,13,20,47500,T1,16,     ,  ,0,5602,23,70,N,5640,  ,16325313,9929,Montclair township                                                                        ,A,N,38977,15531,40822249,-74211989,44,3401347500,6.308418804,0.006980341,6.315399145,5971.226891,6.303238857,0.003833608,6.307072465,6183.646358
Newark,Essex,city                                                                               ,Urban Center,277140,,,,,11458.25607,273546,28/29,3401351000,3401351000,,Newark City,714,714,34013070,27|28|29,G14,13,Newark,714,,,,,,Newark,24.14,"11,480.50",Urban Center ,60,0,0,  ,66852,1,2,34,13,H1,20,51000,C5,19,35620,23,35084,408,,,,,,,62643850,4972876,Newark city                                                                               ,F,!,277140,109520,40.7242204,-74.1725735,25,1779795,882276,885317,        ,23,1,     ,                  ,3401351000,60,59179,22,34,13,20,51000,C5,19,     ,  ,9,5602,23,70,N,5640,  ,61633733,5608553,Newark city                                                                               ,F,Y,273546,100141,40735201,-74184938,25,3401351000,24.18692674,1.92003824,26.10696497,11458.25607,23.79691836,2.165474512,25.96239288,11495.01779
North Caldwell,Essex,borough,Suburban,6183,5669,45,354,260,2053.223084,7375,26,3401352620,3401352620,,North Caldwell Boro,715,715,34013075,27,G15,13,North Caldwell,715,,,,,,North Caldwell Boro,2.9,"2,132.10",Suburban ,60,0,0,  ,69679,1,2,34,13,H1,20,52620,C5,13,35620,23,35084,408,,,,,,,7799394,11722,North Caldwell borough                                                                    ,F,!,6183,2134,40.8644962,-74.2599887,21,1779795,882276,878839,        ,23,1,     ,                  ,3401352620,60,61812,22,34,13,20,52620,C5,13,     ,  ,9,5602,23,70,N,5640,  ,7750184,8847,North Caldwell borough                                                                    ,F,Y,7375,2108,40863532,-74258700,21,3401352620,3.011362987,0.00452589,3.015888877,2053.223084,2.992362899,0.003415846,2.995778745,2464.607485
Nutley,Essex,township                                                                           ,Urban Suburb,28370,23405,628,2824,3354,8384.120159,27362,28,3401353680,3401353680,,Nutley Twp.,716,716,34013080,36,G16,13,Nutley,716,,,,,,Nutley Town,3.4,"8,344.10",Urban Center ,60,0,0,  ,69805,1,2,34,13,H1,20,53680,T1,16,35620,23,35084,408,,,,,,,8763944,113632,Nutley township                                                                           ,A,!,28370,11789,40.8205683,-74.1560786,44,1779795,882276,1729715,        ,23,1,     ,                  ,3401353680,60,61903,22,34,13,20,53680,T1,16,     ,  ,0,5602,23,70,N,5640,  ,8724261,155096,Nutley township                                                                           ,A,Y,27362,11118,40819600,-74158770,44,3401353680,3.38377784,0.043873562,3.427651402,8384.120159,3.368456147,0.059882903,3.42833905,8123.009119
Roseland,Essex,borough                                                                          ,Suburban,5819,5280,106,337,262,1644.376181,5298,27,3401364590,3401364590,,Roseland Boro,718,718,34013090,27,G18,13,Roseland,718,,,,,,Roseland Boro,3.58,"1,625.40",Suburban ,60,0,0,  ,70201,1,2,34,13,H1,20,64590,C5,13,35620,23,35084,408,,,,,,,9165263,53684,Roseland borough                                                                          ,F,!,5819,2432,40.8198606,-74.3101675,21,1779795,882276,885378,        ,23,1,     ,                  ,3401364590,60,62298,22,34,13,20,64590,C5,13,     ,  ,9,5602,23,70,N,5640,  ,9375141,4076,Roseland borough                                                                          ,F,N,5298,2187,40819899,-74306701,21,3401364590,3.538727979,0.020727509,3.559455488,1644.376181,3.619762331,0.001573752,3.621336083,1463.632006
South Orange Village,Essex,township,Urban Suburb,16198,9750,4642,836,993,5672.787028,16964,27,3401369274,3401369274,,South Orange Village Twp.,719,719,34013095,27,G19,13,South Orange Village,719,,,,,,South Orange Village,2.7,"5,999.30",Urban Center ,60,0,0,  ,70335,1,2,34,13,H1,20,69274,T1,14,35620,23,35084,408,,,,,,,7395417,6077,South Orange Village township                                                             ,A,!,16198,5815,40.7488111,-74.2615125,44,1779795,882276,880741,        ,23,1,     ,                  ,3401369274,60,62424,22,34,13,20,69274,T1,14,     ,  ,0,5602,23,70,N,5640,  ,7390086,11582,South Orange Village township                                                             ,A,Y,16964,5671,40747650,-74258811,44,3401369274,2.855386589,0.002346343,2.857732932,5672.787028,2.853328278,0.004471835,2.857800113,5945.337636
Verona,Essex,township                                                                           ,Urban Suburb,13332,12164,262,537,795,4838.426359,13533,26,3401375815,3401375815,,Verona Twp.,720,720,34013100,40,G20,13,Verona,720,,,,,,Verona Boro,2.8,"4,761.40",Urban Center ,60,0,0,  ,70605,1,2,34,13,H1,20,75815,T1,14,35620,23,35084,408,,,,,,,7136560,54374,Verona township                                                                           ,A,!,13332,5523,40.8340073,-74.2428767,44,1779795,882276,1729716,        ,23,1,     ,                  ,3401375815,60,62673,22,34,13,20,75815,T1,14,     ,  ,0,5602,23,70,N,5640,  ,7127816,56861,Verona township                                                                           ,A,N,13533,5719,40832449,-74242276,44,3401375815,2.755441338,0.02099392,2.776435258,4838.426359,2.752065261,0.021954156,2.774019416,4917.397924
West Caldwell,Essex,township,Suburban,10759,9996,136,421,523,2128.547118,11233,26,3401378510,3401378510,,West Caldwell Twp.,721,721,34013105,27,G21,13,West Caldwell,721,,,,,,West Caldwell Boro,5.04,"2,134.70",Suburban ,60,0,0,  ,70779,1,2,34,13,H1,20,78510,T1,14,35620,23,35084,408,,,,,,,13091409,37966,West Caldwell township                                                                    ,A,!,10759,4009,40.8472272,-74.2944265,44,1779795,882276,1729717,        ,23,1,     ,                  ,3401378510,60,62835,22,34,13,20,78510,T1,14,     ,  ,0,5602,23,70,N,5640,  ,13078965,0,West Caldwell township                                                                    ,A,N,11233,4044,40848349,-74288970,44,3401378510,5.054621489,0.014658755,5.069280244,2128.547118,5.049816833,0,5.049816833,2224.437117
West Orange,Essex,township,Suburban,46207,26406,12284,3680,7487,3835.999433,44943,27,3401379800,3401379800,,West Orange Twp.,722,722,34013110,27,G22,13,West Orange,722,,,,,,West Orange Town,12.1,"3,818.80",Suburban ,60,0,0,  ,70955,1,2,34,13,H1,20,79800,T1,16,35620,23,35084,408,,,,,,,31198017,324329,West Orange township                                                                      ,A,!,46207,17612,40.7857526,-74.2650595,44,1779795,882276,1729718,        ,23,1,     ,                  ,3401379800,60,62997,22,34,13,20,79800,T1,16,     ,  ,0,5602,23,70,N,5640,  ,31386369,290453,West Orange township                                                                      ,A,N,44943,16901,40788650,-74255416,44,3401379800,12.04562222,0.125224132,12.17084635,3835.999433,12.11834534,0.112144535,12.23048987,3708.674638
Gloucester County                                                                         ,Gloucester,County                                                                         ,,288288,,,,,895.2898349,254673,,34015,34015,,,,,,,,15,,,,,,,,,,,,50,0,0,  ,72419,1,2,34,15,H1,19,     ,  ,  ,37980,23,15804,428,,,,,,,833989655,39296178,Gloucester County                                                                         ,A,!,288288,109796,39.7210193,-75.1437077,6,1779795,882277,        ,        ,23,1,     ,                  ,34015,50,64445,22,34,15,19,     ,  ,  ,     ,  ,0,6162,23,77,N,6160,  ,841016405,31601580,Gloucester County                                                                         ,A,Y,254673,95054,39752778,-75136197,6,34015,322.0052197,15.1723398,337.1775595,895.2898349,324.7182632,12.20143877,336.9197019,784.2891173
Clayton,Gloucester,borough                                                                           ,Suburban,8179,6120,1473,147,487,1145.534147,7139,3,3401513360,3401513360,,Clayton Boro,801,801,34015005,3,H01,15,Clayton,801,,,,,,Clayton Boro,7.26,"1,126.60",Suburban ,60,0,0,  ,72420,1,2,34,15,H1,19,13360,C5,13,37980,23,15804,428,,,,,,,18492257,501731,Clayton borough                                                                           ,F,!,8179,3128,39.6637555,-75.0775045,21,1779795,882277,885185,        ,23,1,     ,                  ,3401513360,60,64446,22,34,15,19,13360,C5,13,     ,  ,9,6162,23,77,N,6160,  ,18597049,442323,Clayton borough                                                                           ,F,Y,7139,2680,39657914,-75087983,21,3401513360,7.139900648,0.19371943,7.333620079,1145.534147,7.180361067,0.170781872,7.35114294,994.2396953
Deptford,Gloucester,township                                                                         ,Suburban,30561,24082,3717,1361,1830,1760.271769,26763,5,3401517710,3401517710,,Deptford Twp.,802,802,34015010,5,H02,15,Deptford,802,,,,,,Deptford Twp.,17.58,"1,738.40",Suburban ,60,0,0,  ,72617,1,2,34,15,H1,19,17710,T1,16,37980,23,15804,428,,,,,,,44966138,644874,Deptford township                                                                         ,A,!,30561,12361,39.813794,-75.1186925,44,1779795,882277,882149,        ,23,1,     ,                  ,3401517710,60,64617,22,34,15,19,17710,T1,16,     ,  ,0,6162,23,77,N,6160,  ,45312892,209656,Deptford township                                                                         ,A,N,26763,10647,39819613,-75122843,44,3401517710,17.36152368,0.248987254,17.61051094,1760.271769,17.49540616,0.080948638,17.57635479,1529.715844
East Greenwich,Gloucester,township,Suburban,9555,8451,560,345,289,661.6933344,5430,3,3401519180,3401519180,,East Greenwich Twp.,803,803,34015015,3,H03,15,East Greenwich,803,,,,,,East Greenwich Twp.,14.89,641.7,Suburban ,60,0,0,  ,73308,1,2,34,15,H1,19,19180,T1,13,37980,23,15804,428,,,,,,,37400007,1249352,East Greenwich township                                                                   ,A,!,9555,3405,39.7905188,-75.2405918,44,1779795,882277,882141,        ,23,1,     ,                  ,3401519180,60,65138,22,34,15,19,19180,T1,13,     ,  ,0,6162,23,77,N,6160,  ,38201111,579421,East Greenwich township                                                                   ,A,N,5430,1971,39793914,-75236862,44,3401519180,14.44022405,0.482377525,14.92260157,661.6933344,14.74953204,0.223715708,14.97324775,368.147273
Elk,Gloucester,township                                                                              ,Rural,4216,3362,623,27,215,216.2685724,3514,3,3401521060,3401521060,,Elk Twp.,804,804,34015020,3,H04,15,Elk,804,,,,,,Elk Twp.,19.6,215.1,Rural ,60,0,0,  ,73540,1,2,34,15,H1,19,21060,T1,12,37980,23,15804,428,,,,,,,50489950,501758,Elk township                                                                              ,A,!,4216,1576,39.6627518,-75.1569719,44,1779795,882277,882139,        ,23,1,     ,                  ,3401521060,60,65278,22,34,15,19,21060,T1,12,     ,  ,0,6162,23,77,N,6160,  ,50841722,213143,Elk township                                                                              ,A,N,3514,1347,39669790,-75142095,44,3401521060,19.49427951,0.193729855,19.68800937,216.2685724,19.63009944,0.082294976,19.71239442,179.0108099
Franklin,Gloucester,township                                                                         ,Rural,16820,14876,1208,213,755,300.8558868,15466,3,3401524840,3401524840,,Franklin Twp.,805,805,34015025,4,H05,15,Franklin,805,,,,,,Franklin Twp.,56.47,297.9,Rural ,60,0,0,  ,73722,1,2,34,15,H1,19,24840,T1,14,37980,23,15804,428,,,,,,,144798889,1447372,Franklin township                                                                         ,A,!,16820,6104,39.5988405,-75.0208744,44,1779795,882277,882138,        ,23,1,     ,                  ,3401524840,60,65444,22,34,15,19,24840,T1,14,     ,  ,0,6162,23,77,N,6160,  ,145067806,1093598,Franklin township                                                                         ,A,N,15466,5461,39592790,-75043283,44,3401524840,55.90716598,0.558833477,56.46599946,300.8558868,56.01099542,0.422240566,56.43323598,276.1243553
Glassboro,Gloucester,borough                                                                         ,Suburban,18579,13423,3469,534,1378,2022.895885,19068,3,3401526340,3401526340,,Glassboro Boro,806,806,34015030,4,H06,15,Glassboro,806,,,,,,Glassboro Boro,9.37,"1,982.80",Suburban ,60,0,0,  ,74115,1,2,34,15,H1,19,26340,C5,14,37980,23,15804,428,,,,,,,23787377,94772,Glassboro borough                                                                         ,F,!,18579,6590,39.7000956,-75.1114226,21,1779795,882277,885231,        ,23,1,     ,                  ,3401526340,60,65767,22,34,15,19,26340,C5,14,     ,  ,9,6162,23,77,N,6160,  ,23843211,35513,Glassboro borough                                                                         ,F,Y,19068,6555,39705914,-75116651,21,3401526340,9.184357997,0.036591675,9.220949672,2022.895885,9.205915626,0.013711647,9.219627272,2071.276859
Greenwich,Gloucester,township                                                                        ,Suburban,4899,4567,196,37,115,546.1869801,4879,3,3401528185,3401528185,,Greenwich Twp.,807,807,34015035,3,H07,15,Greenwich,807,,,,,,Greenwich Twp.,9.44,519,Suburban ,60,0,0,  ,74484,1,2,34,15,H1,19,28185,T1,12,37980,23,15804,428,,,,,,,23230783,7933683,Greenwich township                                                                        ,A,!,4899,2048,39.8331753,-75.2902798,44,1779795,882277,882142,        ,23,1,     ,                  ,3401528185,60,66082,22,34,15,19,28185,T1,12,     ,  ,0,6162,23,77,N,6160,  ,24127249,7103429,Greenwich township                                                                        ,A,N,4879,1944,39824159,-75281877,44,3401528185,8.969455843,3.063212262,12.03266811,546.1869801,9.315583315,2.742649387,12.0582327,523.7460538
Harrison,Gloucester,township                                                                         ,Rural,12417,11246,475,420,374,648.7284058,8788,5,3401530180,3401530180,,Harrison Twp.,808,808,34015040,3,H08,15,Harrison,808,,,,,,Harrison Twp.,19.08,650.8,Rural ,60,0,0,  ,74719,1,2,34,15,H1,19,30180,T1,14,37980,23,15804,428,,,,,,,49573721,224089,Harrison township                                                                         ,A,!,12417,4089,39.7260101,-75.20505,44,1779795,882277,882146,        ,23,1,     ,                  ,3401530180,60,66272,22,34,15,19,30180,T1,13,     ,  ,0,6162,23,77,N,6160,  ,49555429,118548,Harrison township                                                                         ,A,Y,8788,2939,39730073,-75207306,44,3401530180,19.1405215,0.08652125,19.22704275,648.7284058,19.13345892,0.045771641,19.17923056,459.3001212
Logan,Gloucester,township                                                                            ,Rural,6042,4926,755,154,240,275.5726524,6032,3,3401541160,3401541160,,Logan Twp.,809,809,34015045,3,H09,15,Logan,809,,,,,,Logan Twp.,23.42,258,Rural ,60,0,0,  ,74948,1,2,34,15,H1,19,41160,T1,13,37980,23,15804,428,,,,,,,56786141,12961209,Logan township                                                                            ,A,!,6042,2172,39.792079,-75.355179,44,1779795,882277,882143,        ,23,1,     ,                  ,3401541160,60,66422,22,34,15,19,41160,T1,13,     ,  ,0,6162,23,77,N,6160,  ,58582591,10892962,Logan township                                                                            ,A,Y,6032,2077,39784674,-75348550,44,3401541160,21.92525255,5.004350985,26.92960354,275.5726524,22.6188658,4.20579632,26.82466212,266.6800384
Mantua,Gloucester,township                                                                           ,Suburban,15217,14340,380,168,449,960.1401996,14217,5,3401543440,3401543440,,Mantua Twp.,810,810,34015050,3,H10,15,Mantua,810,,,,,,Mantua Twp.,15.96,953.4,Suburban ,60,0,0,  ,75232,1,2,34,15,H1,19,43440,T1,14,37980,23,15804,428,,,,,,,41048013,180091,Mantua township                                                                           ,A,!,15217,5980,39.7620119,-75.1730897,44,1779795,882277,882147,        ,23,1,     ,                  ,3401543440,60,66589,22,34,15,19,43440,T1,14,     ,  ,0,6162,23,77,N,6160,  ,41173952,13841,Mantua township                                                                           ,A,N,14217,5411,39767302,-75167552,44,3401543440,15.8487271,0.069533527,15.91826063,960.1401996,15.89735242,0.00534404,15.90269646,894.2998572
Monroe,Gloucester,township                                                                           ,Suburban,36129,28689,5060,875,1795,778.7531956,28967,4,3401547250,3401547250,,Monroe Twp.,811,811,34015055,4,H11,15,Monroe,811,,,,,,Monroe Twp.,46.96,769.4,Suburban ,60,0,0,  ,75566,1,2,34,15,H1,19,47250,T1,16,37980,23,15804,428,,,,,,,120158321,1381079,Monroe township                                                                           ,A,!,36129,13387,39.6602926,-74.9727466,44,1779795,882277,882137,        ,23,1,     ,                  ,3401547250,60,66872,22,34,15,19,47250,T1,16,     ,  ,0,6162,23,77,N,6160,  ,120569068,976564,Monroe township                                                                           ,A,N,28967,11069,39669429,-74983541,44,3401547250,46.39338908,0.533237606,46.92662669,778.7531956,46.55197939,0.377053484,46.92903288,622.2506621
